title,author,rating,details,num_reviews,num_ratings,publish_date,genres,description,image_url
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins," 4.34 avg rating — 8,902,709 ratings",/book/show/2767052-the-hunger-games,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SX50_.jpg
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling," 4.50 avg rating — 3,465,432 ratings",/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2._SY75_.jpg
Pride and Prejudice,Jane Austen," 4.29 avg rating — 4,353,491 ratings",/book/show/1885.Pride_and_Prejudice,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg
To Kill a Mockingbird,Harper Lee," 4.26 avg rating — 6,291,758 ratings",/book/show/2657.To_Kill_a_Mockingbird,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg
The Book Thief,Markus Zusak," 4.39 avg rating — 2,628,885 ratings",/book/show/19063.The_Book_Thief,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063._SY75_.jpg
"Twilight (The Twilight Saga, #1)",Stephenie Meyer," 3.66 avg rating — 6,726,816 ratings",/book/show/41865.Twilight,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865._SY75_.jpg
Animal Farm,George Orwell," 3.99 avg rating — 4,002,236 ratings",/book/show/170448.Animal_Farm,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448._SY75_.jpg
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien," 4.61 avg rating — 135,815 ratings",/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30._SX50_.jpg
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis," 4.28 avg rating — 663,948 ratings",/book/show/11127.The_Chronicles_of_Narnia,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127._SY75_.jpg
The Fault in Our Stars,John Green," 4.13 avg rating — 5,266,838 ratings",/book/show/11870085-the-fault-in-our-stars,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085._SX50_.jpg
The Picture of Dorian Gray,Oscar Wilde," 4.13 avg rating — 1,595,314 ratings",/book/show/5297.The_Picture_of_Dorian_Gray,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297._SY75_.jpg
The Giving Tree,Shel Silverstein," 4.38 avg rating — 1,150,675 ratings",/book/show/370493.The_Giving_Tree,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942i/370493._SX50_.jpg
Wuthering Heights,Emily Brontë," 3.89 avg rating — 1,851,020 ratings",/book/show/6185.Wuthering_Heights,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185._SY75_.jpg
Gone with the Wind,Margaret Mitchell," 4.31 avg rating — 1,217,799 ratings",/book/show/18405.Gone_with_the_Wind,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg
The Perks of Being a Wallflower,Stephen Chbosky," 4.23 avg rating — 1,840,410 ratings",/book/show/22628.The_Perks_of_Being_a_Wallflower,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628._SX50_.jpg
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan," 4.31 avg rating — 3,114,396 ratings",/book/show/28187.The_Lightning_Thief,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187._SY75_.jpg
Jane Eyre,Charlotte Brontë," 4.15 avg rating — 2,131,011 ratings",/book/show/10210.Jane_Eyre,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg
The Little Prince,Antoine de Saint-Exupéry," 4.33 avg rating — 2,170,311 ratings",/book/show/157993.The_Little_Prince,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993._SY75_.jpg
The Great Gatsby,F. Scott Fitzgerald," 3.93 avg rating — 5,361,670 ratings",/book/show/4671.The_Great_Gatsby,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560i/4671._SY75_.jpg
"The Da Vinci Code (Robert Langdon, #2)",Dan       Brown," 3.92 avg rating — 2,386,398 ratings",/book/show/968.The_Da_Vinci_Code,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968._SY75_.jpg
Crime and Punishment,Fyodor Dostoevsky," 4.27 avg rating — 934,571 ratings",/book/show/7144.Crime_and_Punishment,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144._SY75_.jpg
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll," 4.06 avg rating — 573,646 ratings",/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630487234i/24213._SX50_.jpg
"Divergent (Divergent, #1)",Veronica Roth," 4.14 avg rating — 4,066,731 ratings",/book/show/13335037-divergent,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037._SY75_.jpg
Memoirs of a Geisha,Arthur Golden," 4.15 avg rating — 2,025,211 ratings",/book/show/929.Memoirs_of_a_Geisha,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929._SY75_.jpg
Les Misérables,Victor Hugo," 4.20 avg rating — 807,367 ratings",/book/show/24280.Les_Mis_rables,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280._SY75_.jpg
The Alchemist,Paulo Coelho," 3.91 avg rating — 3,156,195 ratings",/book/show/865.The_Alchemist,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865._SY75_.jpg
Lord of the Flies,William Golding," 3.69 avg rating — 2,962,754 ratings",/book/show/7624.Lord_of_the_Flies,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624._SY75_.jpg
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery," 4.31 avg rating — 1,006,610 ratings",/book/show/8127.Anne_of_Green_Gables,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127._SY75_.jpg
Romeo and Juliet,William Shakespeare," 3.74 avg rating — 2,647,629 ratings",/book/show/18135.Romeo_and_Juliet,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135._SY75_.jpg
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare," 4.07 avg rating — 2,032,601 ratings",/book/show/256683.City_of_Bones,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683._SY75_.jpg
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams," 4.23 avg rating — 1,878,325 ratings",/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11._SY75_.jpg
